"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2167","should navigate properly from main view to add article page","logged-in-tests","2026-08-24","passed","2026-08-24","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","2021","should have correct new username on the main page navbar after registration","guest-tests","2026-08-24","passed","2026-08-24","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","3426","should successfully add comment on article","logged-in-tests","2026-08-24","passed","2026-08-24","Conduit - article details tests","tests/logged-in/article-details.spec.ts","",""
"","2071","should register successfully with valid credentials","guest-tests","2026-08-24","passed","2026-08-24","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","1774","should navigate from main viev to login page correctly","guest-tests","2026-08-24","passed","2026-08-24","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2649","should succesfully add article with all data","logged-in-tests","2026-08-24","passed","2026-08-24","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","1409","should navigate properly from main view to register page","guest-tests","2026-08-24","passed","2026-08-24","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","2700","should login successfully with valid credentials","guest-tests","2026-08-24","passed","2026-08-24","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","3641","register and save session","setup","2026-08-24","passed","2026-08-24","","tests/auth.setup.ts","",""
"","2147","should have correct username on navbar after logging","guest-tests","2026-08-24","passed","2026-08-24","Conduit - Login Tests","tests/guest/login.spec.ts","",""
