"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2405","should navigate from profile to user settings edit","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - user data edition tests","tests/logged-in/edit-user-data.spec.ts","",""
"","1872","should register successfully with valid credentials","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","2058","should navigate properly from main view to add article page","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","2007","should have correct username on navbar after logging","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2541","should succesfully add article with all data","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","1950","should have correct new username on the main page navbar after registration","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","3184","register and save session","setup","2026-09-09","passed","2026-09-09","","tests/auth.setup.ts","",""
"","1265","should navigate properly from main view to register page","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","1453","should navigate from main viev to login page correctly","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2774","should successfully add comment on article","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - article details tests","tests/logged-in/article-details.spec.ts","",""
"","2506","should login successfully with valid credentials","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2580","should modify user username","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - user data edition tests","tests/logged-in/edit-user-data.spec.ts","",""
