"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2632","should succesfully add article with all data","logged-in-tests","2026-08-25","passed","2026-08-25","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","3445","should successfully add comment on article","logged-in-tests","2026-08-25","passed","2026-08-25","Conduit - article details tests","tests/logged-in/article-details.spec.ts","",""
"","2707","should login successfully with valid credentials","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","1837","should navigate from main viev to login page correctly","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2431","should navigate properly from main view to add article page","logged-in-tests","2026-08-25","passed","2026-08-25","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","2238","should have correct new username on the main page navbar after registration","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","1418","should navigate properly from main view to register page","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","2023","should have correct username on navbar after logging","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2096","should register successfully with valid credentials","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","3672","register and save session","setup","2026-08-25","passed","2026-08-25","","tests/auth.setup.ts","",""
